Date,Sales,Year,Month,Day,DayOfWeek,Is_Weekend
2020-12-28,197.82479703086284,2020,12,28,0,0
2020-12-29,208.03423444197884,2020,12,29,1,0
2020-12-30,213.80287983422224,2020,12,30,2,0
2020-12-31,191.9755905622833,2020,12,31,3,0
2021-01-01,279.4818496362083,2021,1,1,4,0
2021-01-02,275.2518480156359,2021,1,2,5,1
2021-01-03,276.9535219709766,2021,1,3,6,1
2021-01-04,259.5398043228907,2021,1,4,0,0
2021-01-05,275.4902034851789,2021,1,5,1,0
2021-01-06,284.959965824909,2021,1,6,2,0
2021-01-07,304.0228721559008,2021,1,7,3,0
2021-01-08,294.18541652170416,2021,1,8,4,0
2021-01-09,318.06364915023113,2021,1,9,5,1
2021-01-10,259.65304874223904,2021,1,10,6,1
2021-01-11,292.44641273441357,2021,1,11,0,0
2021-01-12,278.666840114767,2021,1,12,1,0
2021-01-13,318.79605866435344,2021,1,13,2,0
2021-01-14,258.83403429289694,2021,1,14,3,0
2021-01-15,258.20556315638447,2021,1,15,4,0
2021-01-16,263.0121470911196,2021,1,16,5,1
2021-01-17,232.52208551380386,2021,1,17,6,1
2021-01-18,264.4848995663848,2021,1,18,0,0
2021-01-19,259.81734676892603,2021,1,19,1,0
2021-01-20,278.00787572952413,2021,1,20,2,0
2021-01-21,281.83511951554317,2021,1,21,3,0
2021-01-22,312.5234167843177,2021,1,22,4,0
2021-01-23,294.008476763721,2021,1,23,5,1
2021-01-24,263.46192688675194,2021,1,24,6,1
2021-01-25,257.03170657303286,2021,1,25,0,0
2021-01-26,284.83838343013014,2021,1,26,1,0
2021-01-27,248.59533585958715,2021,1,27,2,0
2021-01-28,311.62917531708706,2021,1,28,3,0
2021-01-29,298.58880241442574,2021,1,29,4,0
2021-01-30,265.6164869579059,2021,1,30,5,1
2021-01-31,240.73730941818246,2021,1,31,6,1
2021-02-01,320.37871767253023,2021,2,1,0,0
2021-02-02,291.0104732841696,2021,2,2,1,0
2021-02-03,318.05759642869117,2021,2,3,2,0
2021-02-04,261.4127170133346,2021,2,4,3,0
2021-02-05,281.3137697301465,2021,2,5,4,0
2021-02-06,293.40614418358564,2021,2,6,5,1
2021-02-07,294.24088206451677,2021,2,7,6,1
2021-02-08,284.2999607596371,2021,2,8,0,0
2021-02-09,305.7582688361719,2021,2,9,1,0
2021-02-10,271.94886160157006,2021,2,10,2,0
2021-02-11,290.45368048879607,2021,2,11,3,0
2021-02-12,295.7071828234599,2021,2,12,4,0
2021-02-13,303.5900468703969,2021,2,13,5,1
2021-02-14,307.53356775099974,2021,2,14,6,1
2021-02-15,270.80842835246455,2021,2,15,0,0
2021-02-16,262.6189867745095,2021,2,16,1,0
2021-02-17,318.85480662719215,2021,2,17,2,0
2021-02-18,299.94755042881377,2021,2,18,3,0
2021-02-19,278.3315394580909,2021,2,19,4,0
2021-02-20,324.3243096996724,2021,2,20,5,1
2021-02-21,295.6147628750791,2021,2,21,6,1
2021-02-22,316.8872138704985,2021,2,22,0,0
2021-02-23,294.65163981742415,2021,2,23,1,0
2021-02-24,334.5162286868617,2021,2,24,2,0
2021-02-25,328.408087038086,2021,2,25,3,0
2021-02-26,288.3219872196405,2021,2,26,4,0
2021-02-27,312.73268920830907,2021,2,27,5,1
2021-02-28,306.2087891809249,2021,2,28,6,1
2021-03-01,327.37263115064695,2021,3,1,0,0
2021-03-02,280.7015307883979,2021,3,2,1,0
2021-03-03,313.72102919996877,2021,3,3,2,0
2021-03-04,321.1684897369918,2021,3,4,3,0
2021-03-05,264.8252102715377,2021,3,5,4,0
2021-03-06,276.3348297466845,2021,3,6,5,1
2021-03-07,259.215356444798,2021,3,7,6,1
2021-03-08,294.61186331110883,2021,3,8,0,0
2021-03-09,314.35084511591924,2021,3,9,1,0
2021-03-10,330.04714104192055,2021,3,10,2,0
2021-03-11,301.4818956083955,2021,3,11,3,0
2021-03-12,332.57231091142586,2021,3,12,4,0
2021-03-13,272.39797083570215,2021,3,13,5,1
2021-03-14,265.9323512128969,2021,3,14,6,1
2021-03-15,298.88904602206765,2021,3,15,0,0
2021-03-16,307.68130897878615,2021,3,16,1,0
2021-03-17,299.34610503811814,2021,3,17,2,0
2021-03-18,258.6511579992025,2021,3,18,3,0
2021-03-19,298.2175992097442,2021,3,19,4,0
2021-03-20,273.9106099899029,2021,3,20,5,1
2021-03-21,313.3934509766008,2021,3,21,6,1
2021-03-22,307.33196492193696,2021,3,22,0,0
2021-03-23,281.2024042734529,2021,3,23,1,0
2021-03-24,289.72266165326613,2021,3,24,2,0
2021-03-25,278.81572956222095,2021,3,25,3,0
2021-03-26,298.74641805453655,2021,3,26,4,0
2021-03-27,319.10284641002477,2021,3,27,5,1
2021-03-28,280.28547907328914,2021,3,28,6,1
2021-03-29,310.0809303103569,2021,3,29,0,0
2021-03-30,289.3948476325512,2021,3,30,1,0
2021-03-31,284.1425433547531,2021,3,31,2,0
2021-04-01,291.1606629901308,2021,4,1,3,0
2021-04-02,272.5964237408345,2021,4,2,4,0
2021-04-03,282.2282840822783,2021,4,3,5,1
2021-04-04,269.34371233744497,2021,4,4,6,1
2021-04-05,332.5957728475497,2021,4,5,0,0
2021-04-06,294.00654122865654,2021,4,6,1,0
2021-04-07,279.30676002937025,2021,4,7,2,0
2021-04-08,297.5808684039064,2021,4,8,3,0
2021-04-09,291.05470919540534,2021,4,9,4,0
2021-04-10,288.8818781985575,2021,4,10,5,1
2021-04-11,305.58460419009043,2021,4,11,6,1
2021-04-12,308.45142439016803,2021,4,12,0,0
2021-04-13,282.6912472370114,2021,4,13,1,0
2021-04-14,281.78490537632837,2021,4,14,2,0
2021-04-15,287.80023624618906,2021,4,15,3,0
2021-04-16,247.26284689451026,2021,4,16,4,0
2021-04-17,262.9974489452509,2021,4,17,5,1
2021-04-18,320.63875553811243,2021,4,18,6,1
2021-04-19,326.20062445924765,2021,4,19,0,0
2021-04-20,288.3205493980944,2021,4,20,1,0
2021-04-21,304.8324094503373,2021,4,21,2,0
2021-04-22,299.52627328009265,2021,4,22,3,0
2021-04-23,354.8788863583267,2021,4,23,4,0
2021-04-24,315.6927684179135,2021,4,24,5,1
2021-04-25,290.7429183596066,2021,4,25,6,1
2021-04-26,274.1904613772134,2021,4,26,0,0
2021-04-27,261.1723437840705,2021,4,27,1,0
2021-04-28,297.3705429065664,2021,4,28,2,0
2021-04-29,278.1742552835359,2021,4,29,3,0
2021-04-30,264.85619599726846,2021,4,30,4,0
2021-05-01,262.06854231514944,2021,5,1,5,1
2021-05-02,253.3690399277121,2021,5,2,6,1
2021-05-03,308.7428327014513,2021,5,3,0,0
2021-05-04,292.632795138989,2021,5,4,1,0
2021-05-05,274.84054717366763,2021,5,5,2,0
2021-05-06,304.5988827778005,2021,5,6,3,0
2021-05-07,276.54736615295235,2021,5,7,4,0
2021-05-08,257.77431597343474,2021,5,8,5,1
2021-05-09,305.46248154539313,2021,5,9,6,1
2021-05-10,285.77820087369315,2021,5,10,0,0
2021-05-11,254.25507691347087,2021,5,11,1,0
2021-05-12,271.1932264383278,2021,5,12,2,0
2021-05-13,257.48763493230484,2021,5,13,3,0
2021-05-14,247.34400538071327,2021,5,14,4,0
2021-05-15,293.52355095063285,2021,5,15,5,1
2021-05-16,313.1883328094026,2021,5,16,6,1
2021-05-17,247.02864852361716,2021,5,17,0,0
2021-05-18,286.25938473381143,2021,5,18,1,0
2021-05-19,261.98714861756343,2021,5,19,2,0
2021-05-20,265.25749232470605,2021,5,20,3,0
2021-05-21,263.15212151522263,2021,5,21,4,0
2021-05-22,257.7201846064037,2021,5,22,5,1
2021-05-23,275.97043255889656,2021,5,23,6,1
2021-05-24,258.38099767177926,2021,5,24,0,0
2021-05-25,280.4091365155968,2021,5,25,1,0
2021-05-26,273.99523781101726,2021,5,26,2,0
2021-05-27,270.2210390626718,2021,5,27,3,0
2021-05-28,256.848726759168,2021,5,28,4,0
2021-05-29,263.46457338863337,2021,5,29,5,1
2021-05-30,290.1078245165151,2021,5,30,6,1
2021-05-31,285.0183437524876,2021,5,31,0,0
2021-06-01,230.44889510402896,2021,6,1,1,0
2021-06-02,251.98664610858452,2021,6,2,2,0
2021-06-03,265.02774246743576,2021,6,3,3,0
2021-06-04,216.61189437757258,2021,6,4,4,0
2021-06-05,260.8672038475987,2021,6,5,5,1
2021-06-06,236.74752482108306,2021,6,6,6,1
2021-06-07,261.4119733718632,2021,6,7,0,0
2021-06-08,234.73481686914965,2021,6,8,1,0
2021-06-09,213.9023579867096,2021,6,9,2,0
2021-06-10,217.44915124233674,2021,6,10,3,0
2021-06-11,250.96169893322764,2021,6,11,4,0
2021-06-12,255.19445003442965,2021,6,12,5,1
2021-06-13,231.91366749791183,2021,6,13,6,1
2021-06-14,262.77184917554746,2021,6,14,0,0
2021-06-15,216.7695987546208,2021,6,15,1,0
2021-06-16,248.67840402705366,2021,6,16,2,0
2021-06-17,225.77967600475085,2021,6,17,3,0
2021-06-18,236.9632778439568,2021,6,18,4,0
2021-06-19,250.94797342632828,2021,6,19,5,1
